,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Value
0,News Topics,Computing,Graphics,,,,21
1,News Topics,Computing,OS,Microsoft Windows,Miscellaneous,,2
2,News Topics,Computing,System,IBM,PC,Hardware,1
3,News Topics,Computing,System,Mac,Hardware,,6
4,News Topics,Computing,Windows,X,,,2
5,News Topics,Miscellaneous,For Sale,,,,166
6,News Topics,Recreation,Automobiles,,,,7
7,News Topics,Recreation,Motorcycles,,,,147
8,News Topics,Recreation,Sport,Baseball,,,104
9,News Topics,Recreation,Sport,Hockey,,,29
10,News Topics,Talk,Politics,Guns,,,9
11,News Topics,Talk,Politics,Miscellaneous,,,99
12,News Topics,Talk,Politics,Middle East,,,1
13,News Topics,Science,Cryptography,,,,10
14,News Topics,Science,Electronics,,,,33
15,News Topics,Science,Medicine,,,,101
16,News Topics,Science,Space,,,,17
17,News Topics,Talk,Religion,Miscellaneous,,,51
18,News Topics,Alternative,Atheism,,,,6
19,News Topics,Society,Religion,Christian,,,26
