,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Value
0,News Topics,Computing,Graphics,,,,80
1,News Topics,Computing,OS,Microsoft Windows,Miscellaneous,,4
2,News Topics,Computing,System,IBM,PC,Hardware,2
3,News Topics,Computing,System,Mac,Hardware,,14
4,News Topics,Computing,Windows,X,,,39
5,News Topics,Miscellaneous,For Sale,,,,47
6,News Topics,Recreation,Automobiles,,,,3
7,News Topics,Recreation,Motorcycles,,,,7
8,News Topics,Recreation,Sport,Baseball,,,32
9,News Topics,Recreation,Sport,Hockey,,,4
10,News Topics,Talk,Politics,Guns,,,1
11,News Topics,Talk,Politics,Miscellaneous,,,41
12,News Topics,Talk,Politics,Middle East,,,1
13,News Topics,Science,Cryptography,,,,66
14,News Topics,Science,Electronics,,,,42
15,News Topics,Science,Medicine,,,,212
16,News Topics,Science,Space,,,,154
17,News Topics,Talk,Religion,Miscellaneous,,,32
18,News Topics,Alternative,Atheism,,,,5
19,News Topics,Society,Religion,Christian,,,17
