,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Value
0,News Topics,Computing,Graphics,,,,43
1,News Topics,Computing,OS,Microsoft Windows,Miscellaneous,,0
2,News Topics,Computing,System,IBM,PC,Hardware,0
3,News Topics,Computing,System,Mac,Hardware,,11
4,News Topics,Computing,Windows,X,,,4
5,News Topics,Miscellaneous,For Sale,,,,74
6,News Topics,Recreation,Automobiles,,,,0
7,News Topics,Recreation,Motorcycles,,,,11
8,News Topics,Recreation,Sport,Baseball,,,185
9,News Topics,Recreation,Sport,Hockey,,,175
10,News Topics,Talk,Politics,Guns,,,6
11,News Topics,Talk,Politics,Miscellaneous,,,89
12,News Topics,Talk,Politics,Middle East,,,3
13,News Topics,Science,Cryptography,,,,8
14,News Topics,Science,Electronics,,,,52
15,News Topics,Science,Medicine,,,,65
16,News Topics,Science,Space,,,,28
17,News Topics,Talk,Religion,Miscellaneous,,,29
18,News Topics,Alternative,Atheism,,,,6
19,News Topics,Society,Religion,Christian,,,28
